epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8285,3.5539,3.71921,2.98141,6e-05,0.00368,0,0,4.5829,5.83726,2.67728,0.00065641,0.00065641,0.00065641
2,71.6466,1.32928,1.2419,1.39278,0.0003,0.01906,1e-05,0,3.60284,51271.7,31.4236,0.00132178,0.00132178,0.00132178
3,93.1785,1.15707,1.03419,1.20658,0.96102,0.84487,0.90467,0.59363,1.30121,1.04213,1.21895,0.00198198,0.00198198,0.00198198
4,114.777,1.11373,0.96484,1.17057,0.84952,0.7653,0.84166,0.43758,1.56096,1.28365,1.43337,0.00198246,0.00198246,0.00198246
5,136.158,1.08241,0.90914,1.15395,0.97046,0.87864,0.91385,0.60405,1.13674,0.79386,1.14176,0.0019689,0.0019689,0.0019689
6,157.618,1.0746,0.83881,1.1339,0.96925,0.90237,0.93606,0.65795,1.08211,0.77395,1.07346,0.00195155,0.00195155,0.00195155
7,178.889,0.98903,0.7595,1.08447,0.97148,0.88365,0.91719,0.56119,1.34496,0.81713,1.22049,0.00193048,0.00193048,0.00193048
8,200.116,0.98268,0.73573,1.08105,0.97041,0.88666,0.92945,0.62045,1.05087,0.79031,1.10003,0.00190578,0.00190578,0.00190578
9,221.26,0.93196,0.71993,1.05998,0.9682,0.89572,0.93748,0.59746,1.28281,0.72064,1.23218,0.00187754,0.00187754,0.00187754
10,242.393,0.87592,0.65336,1.02604,0.9709,0.87429,0.92507,0.29773,2.27305,1.05317,1.89076,0.00184588,0.00184588,0.00184588
11,263.593,0.93567,0.6495,1.05596,0.97982,0.89289,0.93517,0.32302,2.3449,1.02852,1.83317,0.00181093,0.00181093,0.00181093
12,284.787,0.86851,0.62221,1.02343,0.96293,0.89903,0.93657,0.70316,0.9214,0.60917,1.00816,0.00177281,0.00177281,0.00177281
13,305.914,0.84636,0.5849,1.00851,0.97943,0.89129,0.93547,0.72021,0.84566,0.5764,0.97463,0.00173168,0.00173168,0.00173168
14,327.08,0.83067,0.58024,0.99588,0.97268,0.90639,0.93559,0.6448,1.21003,0.60747,1.09451,0.0016877,0.0016877,0.0016877
15,348.153,0.79583,0.56559,0.97976,0.98246,0.90405,0.94195,0.5217,1.62554,0.77191,1.34082,0.00164105,0.00164105,0.00164105
