epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7182,1.7298,11.4374,3.65144,0,0,0,0,3.10945,8.08074,4.26276,0.000659933,0.000659933,0.000659933
2,51.8136,1.26108,7.086,2.31335,0.68587,0.48908,0.46435,0.32469,1.12298,4.28912,2.1519,0.0013257,0.0013257,0.0013257
3,74.8689,1.02573,5.30024,1.99701,0.97349,0.5,0.495,0.42043,1.04591,4.02821,2.31095,0.00198786,0.00198786,0.00198786
4,97.7665,1.07276,4.53033,1.92921,0.99969,0.5,0.495,0.4455,1.09674,3.71717,1.74655,0.00198781,0.00198781,0.00198781
5,120.513,0.93069,3.70936,1.66062,0.99639,0.5,0.495,0.396,1.10546,3.35219,2.15796,0.00197837,0.00197837,0.00197837
6,143.303,0.86047,3.24395,1.71565,0.99973,0.5,0.495,0.47349,0.67989,2.1216,1.66326,0.00196627,0.00196627,0.00196627
7,166.057,0.76639,2.65107,1.60254,0.99972,0.5,0.495,0.49337,0.46119,1.69946,1.20011,0.00195155,0.00195155,0.00195155
8,188.701,0.63853,2.16742,1.4362,0.99977,0.5,0.495,0.44764,0.38943,1.45888,1.11581,0.00193424,0.00193424,0.00193424
9,211.448,0.54564,1.69165,1.30291,0.99978,0.5,0.495,0.495,0.29567,1.03047,0.96661,0.00191441,0.00191441,0.00191441
10,234.074,0.56075,1.56348,1.32305,0.99977,0.5,0.495,0.48668,0.38564,1.2355,1.06199,0.0018921,0.0018921,0.0018921
11,256.71,0.60024,1.42938,1.33527,0.99978,0.5,0.495,0.39695,0.56233,1.0905,1.15484,0.00186737,0.00186737,0.00186737
12,279.369,0.58273,1.22227,1.29724,0.99978,0.5,0.495,0.4935,0.32146,0.83665,0.94509,0.00184028,0.00184028,0.00184028
13,302.04,0.48292,1.11227,1.21897,0.99977,0.5,0.495,0.4455,0.33292,0.915,0.97368,0.00181093,0.00181093,0.00181093
14,325.222,0.44636,0.9942,1.17264,0.99978,0.5,0.495,0.495,0.20789,0.57522,0.81329,0.00177937,0.00177937,0.00177937
15,348.292,0.40134,0.89311,1.15065,0.99978,0.5,0.495,0.495,0.24082,0.49075,0.80568,0.00174571,0.00174571,0.00174571
16,371.209,0.37655,0.79025,1.11817,0.99978,0.5,0.495,0.495,0.24974,0.49882,0.82551,0.00171004,0.00171004,0.00171004
17,394.092,0.4568,0.80389,1.15628,0.99977,0.5,0.495,0.49396,0.30406,0.47803,0.84938,0.00167244,0.00167244,0.00167244
18,416.901,0.36159,0.67618,1.05953,0.99977,0.5,0.495,0.495,0.14971,0.44522,0.69074,0.00163303,0.00163303,0.00163303
19,439.75,0.33288,0.65027,1.04201,0.99977,0.5,0.495,0.495,0.13691,0.35751,0.66984,0.00159191,0.00159191,0.00159191
20,462.582,0.33437,0.58314,1.02219,0.99977,0.5,0.495,0.48821,0.29261,0.44508,0.82091,0.00154919,0.00154919,0.00154919
21,26.0984,2.07067,13.8415,4.40923,0,0,0,0,3.19759,7.56397,4.30097,0.001505,0.001505,0.001505
22,48.7784,1.87729,12.795,3.7102,0.99969,0.5,0.495,0.35953,0.85686,5.02036,3.39414,0.00145945,0.00145945,0.00145945
23,71.4475,1.64217,8.26934,3.03336,0.99974,0.5,0.495,0.39995,1.03345,4.80834,2.68376,0.00141267,0.00141267,0.00141267
24,94.0439,1.34064,6.28861,2.66812,0.9997,0.5,0.495,0.4354,0.81604,3.83357,2.3113,0.00136478,0.00136478,0.00136478
25,116.542,1.12247,5.28701,2.4192,0.99975,0.5,0.495,0.495,0.68724,3.87158,2.21076,0.00131593,0.00131593,0.00131593
26,139.013,1.01634,4.44008,2.2154,0.99975,0.5,0.495,0.48429,0.58676,3.07663,1.86074,0.00126623,0.00126623,0.00126623
27,161.587,0.97396,3.83876,2.13928,0.99972,0.5,0.495,0.44466,0.87902,2.67531,1.92933,0.00121583,0.00121583,0.00121583
28,184.114,0.76231,3.34032,1.92627,0.99977,0.5,0.495,0.45169,0.4652,1.87491,1.54648,0.00116487,0.00116487,0.00116487
29,206.601,0.69206,2.78183,1.83695,0.99977,0.5,0.495,0.4378,0.60434,1.60909,1.46515,0.00111348,0.00111348,0.00111348
30,228.986,0.86015,2.69034,1.89264,0.99976,0.5,0.495,0.39734,0.49164,1.87397,1.43512,0.00106181,0.00106181,0.00106181
31,251.403,0.61841,2.43203,1.70084,0.99977,0.5,0.495,0.495,0.27766,1.37512,1.1975,0.00101,0.00101,0.00101
32,273.888,0.62913,2.21941,1.65582,0.99978,0.5,0.495,0.495,0.29334,1.13362,1.1051,0.000958187,0.000958187,0.000958187
33,296.324,0.56272,2.06464,1.55788,0.99978,0.5,0.495,0.495,0.23803,1.10275,1.08455,0.000906517,0.000906517,0.000906517
34,318.676,0.54661,1.91535,1.52133,0.99977,0.5,0.495,0.46593,0.26281,1.14879,1.07025,0.00085513,0.00085513,0.00085513
35,341.084,0.50981,1.77624,1.49932,0.99978,0.5,0.495,0.495,0.21886,1.09972,0.93039,0.000804167,0.000804167,0.000804167
36,363.59,0.44868,1.65084,1.42363,0.99978,0.5,0.495,0.495,0.26014,0.98855,1.00018,0.000753769,0.000753769,0.000753769
37,386.041,0.46549,1.63893,1.403,0.99978,0.5,0.495,0.495,0.20699,0.87351,0.96472,0.000704073,0.000704073,0.000704073
38,408.376,0.39674,1.43145,1.33829,0.99977,0.5,0.495,0.495,0.20641,0.8254,0.92954,0.000655216,0.000655216,0.000655216
39,430.526,0.36793,1.40585,1.27519,0.99977,0.5,0.495,0.49484,0.28514,0.91409,0.94383,0.000607331,0.000607331,0.000607331
40,452.635,0.37849,1.28173,1.25389,0.99977,0.5,0.495,0.495,0.14388,0.73914,0.84713,0.000560549,0.000560549,0.000560549
41,474.869,0.40238,1.31327,1.26637,0.99977,0.5,0.495,0.495,0.16251,0.71441,0.84839,0.000515,0.000515,0.000515
42,497,0.35439,1.263,1.21608,0.99977,0.5,0.495,0.495,0.16323,0.7297,0.82959,0.000470807,0.000470807,0.000470807
43,519.098,0.32385,1.14234,1.18596,0.99977,0.5,0.495,0.495,0.19204,0.69155,0.83031,0.000428093,0.000428093,0.000428093
44,541.202,0.28009,1.06069,1.12525,0.99978,0.5,0.495,0.495,0.16656,0.64791,0.83415,0.000386973,0.000386973,0.000386973
45,563.418,0.34085,1.18683,1.20282,0.99977,0.5,0.495,0.495,0.20804,0.66991,0.84341,0.000347561,0.000347561,0.000347561
46,585.981,0.32541,1.08411,1.17401,0.99977,0.5,0.495,0.495,0.11781,0.56568,0.77271,0.000309964,0.000309964,0.000309964
47,608.361,0.30869,1.07748,1.14566,0.99977,0.5,0.495,0.495,0.14552,0.59573,0.80658,0.000274287,0.000274287,0.000274287
48,630.697,0.31449,1.04473,1.14584,0.99977,0.5,0.495,0.495,0.13796,0.56035,0.77318,0.000240625,0.000240625,0.000240625
49,653.62,0.18185,0.95485,1.00407,0.99978,0.5,0.495,0.495,0.15572,0.58285,0.78732,0.000209073,0.000209073,0.000209073
50,675.964,0.18423,0.92457,0.97796,0.99978,0.5,0.495,0.495,0.15992,0.545,0.77354,0.000179716,0.000179716,0.000179716
